stfid,name,racewhite1620_est,raceaa1620_est,raceasian1620_est,raceamind1620_est,raceoth1620_est,hispanic1620_est,noncitizens1620_est,pubtrans1620_est,walkoth1620_est,medincacs1620_est,gini1620_est,noveh1620_est
55081950700,Census Tract 9507,95.8,0.1,0.8,0.3,0.9,2.1,0.3,0.2,8.7,61700,0.4205,7.9
55087011001,Census Tract 110.01,77.7,3.6,0,1.8,7.8,9.1,3.2,1.1,0,30365,0.4412,17.3
55007960100,Census Tract 9601,51.9,0.7,0.8,37.9,4.4,4.3,1,4.8,6.7,54277,0.4304,6.6
55081950100,Census Tract 9501,89.9,0.3,0.2,3.9,2.2,3.5,0.1,0,2.9,69535,0.3989,2.8
55087011002,Census Tract 110.02,87.3,1.3,7.4,0,1.8,2.2,0,3.6,6.9,53828,0.3572,10
55007960600,Census Tract 9606,97.9,0.2,0.4,0.4,0.7,0.5,0,0.1,5.6,55658,0.4738,2.3
55007960300,Census Tract 9603,88.8,0.1,0.4,3.7,4.3,2.6,0.5,1.4,6.2,57222,0.4409,6
55009000200,Census Tract 2,77.2,4.9,0.8,3.6,7.3,6.2,1.5,0.6,0.5,48630,0.3946,6.6
55007960200,Census Tract 9602,92.7,0.7,0,2.7,1.3,2.6,0.2,0,4.1,60612,0.3906,1.6
55009000302,Census Tract 3.02,69,5.9,13.5,2,5.9,3.8,4.6,1,8.4,38688,0.4443,19.5
55009000303,Census Tract 3.03,73.8,12.4,2.8,5.3,3.8,1.9,3.6,0.6,4.2,42778,0.4272,21.3
55009000401,Census Tract 4.01,69.6,1.9,5.8,4.4,7.5,10.8,8.1,4.2,6.2,37571,0.4403,13.3
55081950900,Census Tract 9509,91.7,0.7,0,0,1.2,6.4,2.6,0.2,5.6,77634,0.38,6.1
55081950400,Census Tract 9504,90.4,0.3,2.5,0,1,5.7,1.8,0,6.8,44792,0.398,6.1
55009000402,Census Tract 4.02,81.6,0,7.8,1.4,6.6,2.6,1.3,0,0,59205,0.3321,1.8
55009000500,Census Tract 5,84.1,6.7,2.3,1,4.8,1,5.3,0,1.4,50183,0.3104,3
55009000600,Census Tract 6,91.2,1,1.3,0,3.1,3.4,0.9,0,1.6,59141,0.346,1.3
55009000700,Census Tract 7,67.1,2.3,1.3,1.2,13.4,14.6,3.9,1.4,0.6,48781,0.3076,5.4
55009001000,Census Tract 10,72.9,3.6,14.1,2.7,0.4,6.3,11.2,4.1,10.6,65489,0.5188,20.6
55009001100,Census Tract 11,40.9,15.8,0,2.8,4.6,35.8,10.7,9.8,7.7,37097,0.4458,15.4
55009001200,Census Tract 12,45.6,12.6,0.3,4,6.4,31.1,15,2.9,13.6,41164,0.4439,15.7
55009001300,Census Tract 13,77.6,0.4,1.2,7.4,6.1,7.4,1,0.1,9.1,45234,0.4655,9.3
55087011902,Census Tract 119.02,88.6,2.2,0.3,1.7,0.6,6.6,0,0.1,3.2,73571,0.4644,3.3
55081950800,Census Tract 9508,86.3,0.7,0.6,0.1,1.1,11.2,4.2,0.1,7.1,60920,0.3812,7.7
55009001400,Census Tract 14,70.8,7.1,1.1,0.9,4.4,15.7,3.2,2.6,5.6,49694,0.3138,5.3
55009001600,Census Tract 16,46.3,2.8,6.9,0.4,0.5,43.1,14.8,0,6.3,46853,0.3599,4.8
55009001702,Census Tract 17.02,50.9,3.2,5.1,0,5.6,35.2,15.2,0,1.4,35966,0.4505,12.4
55009001801,Census Tract 18.01,77.6,4.2,4.4,2.1,2.8,8.8,3.1,1.7,1.3,67101,0.3886,5.2
55009002001,Census Tract 20.01,71.4,1.6,5.4,0.3,3.2,18,4.7,0.6,1.1,67552,0.4964,8.3
55009002002,Census Tract 20.02,70.8,0,3.4,1.3,1.3,23.1,5.2,2.4,3.9,57639,0.373,0
55009002003,Census Tract 20.03,84.2,0,6.7,0,0.3,8.8,1,0,1.4,71964,0.4237,11.1
55009010100,Census Tract 101,95.1,0,0.9,0.4,1.2,2.4,1.6,0,2.3,77486,0.4094,4.9
55009010201,Census Tract 102.01,91.1,1.5,1.1,0.7,2.3,3.2,1,0.3,19.3,52210,0.4746,7.8
55087012101,Census Tract 121.01,91.8,0,0,0,4.4,3.7,0,0,0,85855,0.342,5.1
55009010300,Census Tract 103,90.5,0.1,2.4,2.1,3.5,1.3,0.4,1,2.2,66600,0.4802,4.1
55081950500,Census Tract 9505,87.2,2.8,1.1,1.4,2.5,5,0.1,0.9,7,61019,0.4213,9.1
55009020100,Census Tract 201,97.8,0.1,0,1,0.4,0.8,0.1,0.3,0.9,76672,0.3491,2.2
55081950200,Census Tract 9502,94.3,1.4,0.5,0.1,0.8,2.8,1.1,0.3,5.9,71598,0.3689,2.5
55009020203,Census Tract 202.03,93.7,2.3,0,0,1.9,2.1,0.5,0,1.4,91362,0.3525,1.3
55009020204,Census Tract 202.04,95.5,0.2,0.2,0.2,0.7,3.2,0.9,0.3,0.3,103425,0.3389,0
55009020502,Census Tract 205.02,85.6,2.8,1.6,3.7,0.7,5.6,2.7,0,0.9,49893,0.4294,5.3
